accession_number;gene_names;protein_names;ksmbr_number;kust_number
Q1Q198;acrA acrA_2;Similar to AcrA/AcrE family multidrug efflux protein;KSMBR1_1104;kuste3013
A0A2C9CDE3;;Uncharacterized protein;KSMBR1_1105;
Q1Q184;;Uncharacterized protein;KSMBR1_1106;kuste3009
Q1Q187;;Reverse transcriptase domain-containing protein;KSMBR1_1107;kuste3006
A0A2C9CD32;ltrA_1;Reverse transcriptase domain-containing protein;KSMBR1_1108;
A0A2C9CD28;;Uncharacterized protein;KSMBR1_1109;
A0A2C9CDF4;dpm_2;Glyco_trans_2-like domain-containing protein;KSMBR1_1110;
A0A2C9CD40;tnpA_9;Tnp_DDE_dom domain-containing protein;KSMBR1_1119;
A0A2C9CDG4;;Uncharacterized protein;KSMBR1_1120;
A0A2C9CCX4;;Uncharacterized protein;KSMBR1_1121;
A0A2C9CD49;;Rubredoxin-like domain-containing protein;KSMBR1_1123;
A0A2C9CDG7;higB_1;Uncharacterized protein;KSMBR1_1125;
Q1PY81;higA;Similar to plasmid-encoded proteic killer antidote protein HigA;KSMBR1_1126;kustd1290
A0A2C9CD56;;Uncharacterized protein;KSMBR1_1127;
Q1PY79;;Uncharacterized protein;KSMBR1_1128;kustd1292
Q1PY78;;Uncharacterized protein;KSMBR1_1129;kustd1293
A0A2C9CDH4;;Uncharacterized protein;KSMBR1_1130;
A0A2C9CCY4;;Uncharacterized protein;KSMBR1_1131;
A0A2C9CD58;;Big_5 domain-containing protein;KSMBR1_1133;
A0A2C9CDH5;;Uncharacterized protein;KSMBR1_1135;
A0A2C9CCP1;;Uncharacterized protein;KSMBR1_1136;
A0A2C9CD69;;Uncharacterized protein;KSMBR1_1137;
Q1PYM7;ntrC ntrC_1;Similar to sigma 54 response regulator;KSMBR1_1138;kustd1433
Q1PYM8;;Hypothetical histidine kinase protein (Putative histidine kinase protein);KSMBR1_1139;kustd1432
Q1PYK9;;STAS domain-containing protein;KSMBR1_1140;kustd1431
Q1PYL0;;TPR_REGION domain-containing protein;KSMBR1_1141;kustd1430
Q1PYL1;;Uncharacterized protein;KSMBR1_1142;kustd1429
A0A2C9CD70;bamD;Outer membrane protein assembly factor BamD;KSMBR1_1143;
A0A2C9CFX0;;Uncharacterized protein;KSMBR1_1144;
A0A2C9CDI6;;Uncharacterized protein;KSMBR1_1145;
Q1PYL4;;Uncharacterized protein;KSMBR1_1146;kustd1426
A0A2C9CD75;;Tetratricopeptide repeat protein;KSMBR1_1147;
A0A2C9CD73;atoS_1;Uncharacterized protein;KSMBR1_1148;
Q1PYK0;atoC atoC_3;Strongly similar to sigma 54 response regulator;KSMBR1_1149;kustd1421
Q1PYK1;flgB;Flagellar basal body rod protein FlgB;KSMBR1_1150;kustd1420
Q1PYK2;flgC;Flagellar basal-body rod protein FlgC;KSMBR1_1151;kustd1419
Q1PYK3;fliE;Flagellar hook-basal body complex protein FliE;KSMBR1_1152;kustd1418
A0A2C9CD78;;GIY-YIG domain-containing protein;KSMBR1_1153;
A0A2C9CFX9;thyX;Flavin-dependent thymidylate synthase (FDTS) (EC 2.1.1.148) (FAD-dependent thymidylate synthase) (Thymidylate synthase ThyX) (TS) (TSase);KSMBR1_1154;
A0A2C9CDJ6;cobA_2;Uncharacterized protein;KSMBR1_1155;
Q1PYK8;;Uncharacterized protein;KSMBR1_1156;kustd1413
Q1PYI9;;Uncharacterized protein;KSMBR1_1157;kustd1412
A0A2C9CD83;;Uncharacterized protein;KSMBR1_1158;
A0A2C9CD81;pyc;Pyruvate carboxylase (EC 6.4.1.1);KSMBR1_1159;
Q1PYJ4;;Uncharacterized protein;KSMBR1_1160;kustd1407
A0A2C9CD15;gcvPB;Probable glycine dehydrogenase (decarboxylating) subunit 2 (EC 1.4.4.2) (Glycine cleavage system P-protein subunit 2) (Glycine decarboxylase subunit 2) (Glycine dehydrogenase (aminomethyl-transferring) subunit 2);KSMBR1_1161;
A0A2C9CDD9;;Uncharacterized protein;KSMBR1_1162;
Q1PYJ8;;Uncharacterized protein;KSMBR1_1163;kustd1403
Q1PYI0;;Glu_synthase domain-containing protein;KSMBR1_1164;kustd1401
Q1PYI1;pqqC;Similar to PQQ biosynthesis protein C;KSMBR1_1165;kustd1400
A0A2C9CCS2;;Hemerythrin domain-containing protein;KSMBR1_1166;
A0A2C9CD95;zraR;Strongly similar to sigma 54 response regulatory protein;KSMBR1_1167;
A0A2C9CD93;zraS;Uncharacterized protein;KSMBR1_1168;
A0A2C9CD92;gltX;Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS);KSMBR1_1169;
Q1PYI6;ligT;RNA 2',3'-cyclic phosphodiesterase (RNA 2',3'-CPDase) (EC 3.1.4.58);KSMBR1_1170;kustd1395
Q1PYI7;recA;Protein RecA (Recombinase A);KSMBR1_1171;kustd1394
Q1PYI8;alaS;Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS);KSMBR1_1172;kustd1393
Q1PYH1;l32 rpmF;50S ribosomal protein L32;KSMBR1_1173;kustd1391
Q1PYH2;plsX;Phosphate acyltransferase (EC 2.3.1.274) (Acyl-ACP phosphotransacylase) (Acyl-[acyl-carrier-protein]--phosphate acyltransferase) (Phosphate-acyl-ACP acyltransferase);KSMBR1_1174;kustd1390
A0A2C9CDL0;fabH;3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III);KSMBR1_1175;
A0A2C9CCT2;fabD;Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39);KSMBR1_1176;
Q1PYH5;acpP acpP_1;Acyl carrier protein (ACP);KSMBR1_1177;kustd1387
Q1PYH6;fabF fabF_1;3-oxoacyl-[acyl-carrier-protein] synthase 2 (EC 2.3.1.179);KSMBR1_1178;kustd1386
A0A2C9CDA2;firA lpxD;UDP-3-O-acylglucosamine N-acyltransferase (EC 2.3.1.-);KSMBR1_1179;
A0A2C9CDM5;glmS_2 glmS;Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (GFAT) (Glucosamine-6-phosphate synthase) (Hexosephosphate aminotransferase) (L-glutamine--D-fructose-6-phosphate amidotransferase);KSMBR1_1180;
A0A2C9CD37;msrA_1 msrA;Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase);KSMBR1_1181;
Q1PYG2;;Uncharacterized protein;KSMBR1_1182;kustd1381
A0A2C9CDA8;cysC;Adenylyl-sulfate kinase (EC 2.7.1.25) (APS kinase) (ATP adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenosine-5'-phosphosulfate kinase);KSMBR1_1183;
Q1PYG4;wcaG fcl wcaG_1;GDP-L-fucose synthase (EC 1.1.1.271) (GDP-4-keto-6-deoxy-D-mannose-3,5-epimerase-4-reductase);KSMBR1_1184;kustd1379
A0A2C9CDM2;;DDE_5 domain-containing protein;KSMBR1_1185;
Q1PYG6;;Uncharacterized protein;KSMBR1_1186;kustd1377
Q1PYG8;yaaT;Similar to putative signal peptidase protein;KSMBR1_1187;kustd1375
Q1PYG9;metG;Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS);KSMBR1_1188;kustd1374
A0A2C9CDB0;;Peptidase_M48 domain-containing protein;KSMBR1_1189;
A0A2C9CDN5;czcC_3;Uncharacterized protein;KSMBR1_1191;
Q1PYF3;gch folE;GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I);KSMBR1_1193;kustd1371
Q1PYF4;dapA;4-hydroxy-tetrahydrodipicolinate synthase (HTPA synthase) (EC 4.3.3.7);KSMBR1_1194;kustd1370
Q1PYF5;pdxJ;Pyridoxine 5'-phosphate synthase (PNP synthase) (EC 2.6.99.2);KSMBR1_1195;kustd1369
Q1PYF6;;YbbR-like protein;KSMBR1_1196;kustd1368
A0A2C9CCV4;dacA;Diadenylate cyclase (DAC) (EC 2.7.7.85) (Cyclic-di-AMP synthase) (c-di-AMP synthase);KSMBR1_1197;
A0A2C9CDC4;folP;Strongly similar to dihydropteroate synthase (EC 2.5.1.15);KSMBR1_1198;
A0A2C9CDC3;;Uncharacterized protein;KSMBR1_1200;
A0A2C9CDP4;;TPR_REGION domain-containing protein;KSMBR1_1201;
Q1PYE2;recO;DNA repair protein RecO (Recombination protein O);KSMBR1_1202;kustd1363
Q1PYE3;ybeY;Endoribonuclease YbeY (EC 3.1.-.-);KSMBR1_1203;kustd1362
Q1PYE4;phoH;Strongly similar to phosphate-starvation inducible protein PhoH;KSMBR1_1204;kustd1361
A0A2C9CG34;cds;Uncharacterized protein;KSMBR1_1205;
A0A2C9CDP2;uppS;Isoprenyl transferase (EC 2.5.1.-);KSMBR1_1206;
A0A2C9CCW3;purA;Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase);KSMBR1_1207;
A0A2C9CDD4;surA_1;Peptidylprolyl isomerase (EC 5.2.1.8);KSMBR1_1208;
A0A2C9CDD6;;HD_domain domain-containing protein;KSMBR1_1209;
Q1PYD1;;PilZ domain-containing protein;KSMBR1_1210;kustd1354
Q1PYD2;ppiB;Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8);KSMBR1_1211;kustd1353
A0A2C9CD67;;Uncharacterized protein;KSMBR1_1212;
Q1PYD4;gabP;Similar to gamma-aminobutyrate permease;KSMBR1_1213;kustd1351
Q1PYD6;;Similar to Tpr region of human peroxisomal targeting signal-1 receptor Pex5;KSMBR1_1214;kustd1349
Q1PYD8;;Fatty acid hydroxylase domain-containing protein;KSMBR1_1215;kustd1347
Q1PYD9;;Glyco_trans_2-like domain-containing protein;KSMBR1_1216;kustd1346
A0A2C9CCX3;;Uncharacterized protein;KSMBR1_1217;
Q1PYC1;shst1 shst2 shst2_1;Similar to high affinity sulfate transporter (Plant);KSMBR1_1218;kustd1344
Q1PYC4;;Uncharacterized protein;KSMBR1_1219;kustd1341
Q1PYC5;hao hdh;Hydrazine dehydrogenase (Similar to hydroxylamine oxidoreductase hao) (EC 1.7.3.-);KSMBR1_1220;kustd1340
A0A2C9CDR5;fhlA_1;Strongly similar to sigma 54 formate hydrogen lyase transcriptional activator FlhA;KSMBR1_1221;
A0A2C9CD76;;Y1_Tnp domain-containing protein;KSMBR1_1222;
Q1PYB2;kaiC;Similar to circadian clock rhythm protein KaiC of the recA superfamily ATPase;KSMBR1_1223;kustd1334
Q1PYB3;kaiB;Strongly similar to circadian clock rhythm protein KaiB;KSMBR1_1224;kustd1333
Q1PYB4;;KaiB domain-containing protein;KSMBR1_1225;kustd1332
A0A2C9CDR0;fhlA_2;Uncharacterized protein;KSMBR1_1226;
Q1PYB6;;Antibiotic biosynthesis monooxygenase;KSMBR1_1227;kustd1330
A0A2C9CDF6;;CsbD domain-containing protein;KSMBR1_1228;
Q1PYB8;;BON domain-containing protein;KSMBR1_1229;kustd1328
Q1PYB9;;Uncharacterized protein;KSMBR1_1230;kustd1327
A0A2C9CDS5;;Uncharacterized protein;KSMBR1_1231;
Q1PYA0;;Uncharacterized protein;KSMBR1_1232;kustd1310
A0A2C9CDL4;;Uncharacterized protein;KSMBR1_1233;
A0A2C9CDF9;;Uncharacterized protein;KSMBR1_1234;
A0A2C9CG61;;Uncharacterized protein;KSMBR1_1235;
A0A2C9CDS0;;Uncharacterized protein;KSMBR1_1236;
A0A2C9CCZ1;;Uncharacterized protein;KSMBR1_1237;
Q1PY86;;Uncharacterized protein;KSMBR1_1238;kustd1305
Q1PY88;sod;Similar to superoxide dismutase (EC 1.15.1.1);KSMBR1_1239;kustd1303
Q1PY89;;Uncharacterized protein;KSMBR1_1240;kustd1302
A0A2C9CDT5;kat;Catalase (EC 1.11.1.6);KSMBR1_1241;
Q1PY91;;Uncharacterized protein;KSMBR1_1242;kustd1300
A0A2C9CDG9;cpo;AB hydrolase-1 domain-containing protein;KSMBR1_1244;
Q1PYL8;cbbZ;Similar to phosphoglycolate phosphatase (EC 3.1.3.18);KSMBR1_1246;kustd1442
A0A2C9CD01;lolA_2;Uncharacterized protein;KSMBR1_1247;
A0A2C9CDH3;;Tetratricopeptide repeat protein;KSMBR1_1248;
A0A2C9CDH6;;TPR_REGION domain-containing protein;KSMBR1_1249;
Q1PYN7;ruvC;Crossover junction endodeoxyribonuclease RuvC (EC 3.1.22.4) (Holliday junction nuclease RuvC) (Holliday junction resolvase RuvC);KSMBR1_1250;kustd1445
A0A2C9CDU6;;Uncharacterized protein;KSMBR1_1251;
A0A2C9CDA7;;TPR_REGION domain-containing protein;KSMBR1_1252;
Q1PYN2;;Cache domain-containing protein;KSMBR1_1253;kustd1450
Q1PYN1;rcc1_1;Uncharacterized protein;KSMBR1_1254;kustd1451
A0A2C9CG79;;Uncharacterized protein;KSMBR1_1255;
Q1PYP7;rdb1;Rna binding protein;KSMBR1_1256;kustd1457
A0A2C9CD13;greA;Transcription elongation factor GreA (Transcript cleavage factor GreA);KSMBR1_1257;
A0A2C9CDI4;;Uncharacterized protein;KSMBR1_1258;
Q1PYP0;fixL fixL_1;Similar to histidine kinase (EC 2.7.3.-);KSMBR1_1259;kustd1464
Q1PYR1;cheY cheY_4;Similar to response regulator protein;KSMBR1_1260;kustd1465
A0A2C9CDV7;hhoA;Serine protease HhoA;KSMBR1_1261;
A0A2C9CDB7;;Reelin domain-containing protein;KSMBR1_1262;
A0A2C9CDP3;;Uncharacterized protein;KSMBR1_1263;
A0A2C9CDI9;;Uncharacterized protein;KSMBR1_1264;
Q1PYQ6;;Uncharacterized protein;KSMBR1_1265;kustd1470
A0A2C9CDU8;;Uncharacterized protein;KSMBR1_1266;
Q1PYQ4;;Uncharacterized protein;KSMBR1_1267;kustd1472
A0A2C9CDJ5;;Uncharacterized protein;KSMBR1_1268;
A0A2C9CDJ3;;Uncharacterized protein;KSMBR1_1269;
Q1PYQ2;;Uncharacterized protein;KSMBR1_1270;kustd1474
Q1PYQ1;;Uncharacterized protein;KSMBR1_1271;kustd1475
A0A2C9CDC7;;Uncharacterized protein;KSMBR1_1272;
Q1PYS0;fbp;Fructose-1,6-bisphosphatase class 1 (FBPase class 1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1);KSMBR1_1273;kustd1478
Q1PYR9;fba fba_2;Similar to fructose-biphosphate aldolase (EC 4.1.2.13);KSMBR1_1274;kustd1479
Q1PYR8;petC;Similar to Rieske 2Fe-2S iron sulfur protein (Cytochrome b6-F complex) (EC 1.10.99.1);KSMBR1_1275;kustd1480
Q1PYR7;petB petB_1;Strongly similar to cytochrome b6;KSMBR1_1276;kustd1481
Q1PYR5;;Similar to NAD(P) oxidoreductase, FAD-containing subunit (EC 1.-.-.-);KSMBR1_1277;kustd1483
Q1PYR4;qrcC;Hypothetical bc1 protein (putative UQ:cyt c oxidpoeductase) (Putative bc1 protein (Putative UQ:cyt c oxidpoeductase));KSMBR1_1278;kustd1484
A0A2C9CDK0;;Putative cytochrome c protein;KSMBR1_1279;
A0A2C9CDJ9;;TPR_REGION domain-containing protein;KSMBR1_1280;
Q1PYT2;;Uncharacterized protein;KSMBR1_1281;kustd1488
Q1PYT0;eno;Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase);KSMBR1_1282;kustd1490
A0A2C9CDR1;;Uncharacterized protein;KSMBR1_1283;
A0A2C9CDK8;proA;Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase) (GSA dehydrogenase);KSMBR1_1284;
Q1PYS7;accA;Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15);KSMBR1_1285;kustd1493
A0A2C9CDW9;;TPR_REGION domain-containing protein;KSMBR1_1286;
Q1PYS3;cbk;Carbamate kinase;KSMBR1_1287;kustd1497
A0A2C9CDL3;;Uncharacterized protein;KSMBR1_1288;
Q1PYU0;;GIY-YIG domain-containing protein;KSMBR1_1289;kustd1500
A0A2C9CDK9;;GIY-YIG domain-containing protein;KSMBR1_1290;
A0A2C9CDY5;;Uncharacterized protein;KSMBR1_1291;
A0A2C9CDE8;;Putative orf;KSMBR1_1292;
A0A2C9CDR9;murI;Glutamate racemase (EC 5.1.1.3);KSMBR1_1293;
A0A2C9CDL8;;TPR_REGION domain-containing protein;KSMBR1_1294;
Q1PYV0;;NTP_transf_2 domain-containing protein;KSMBR1_1295;kustd1508
Q1PYU9;;Uncharacterized protein;KSMBR1_1296;kustd1509
Q1PYU8;;Uncharacterized protein;KSMBR1_1297;kustd1510
A0A2C9CDM6;phoU_2;Phosphate-specific transport system accessory protein PhoU;KSMBR1_1298;
Q1PYU5;;Uncharacterized protein;KSMBR1_1299;kustd1513
A0A2C9CDM1;;Uncharacterized protein;KSMBR1_1300;
A0A2C9CDZ7;;S-layer protein;KSMBR1_1301;
A0A2C9CDF8;;Uncharacterized protein;KSMBR1_1302;
A0A2C9CDS9;;Y1_Tnp domain-containing protein;KSMBR1_1303;
A0A2C9CDM7;;Y1_Tnp domain-containing protein;KSMBR1_1304;
A0A2C9CGD0;;Uncharacterized protein;KSMBR1_1305;
A0A2C9CDZ3;;Uncharacterized protein;KSMBR1_1306;
A0A2C9CD65;;Uncharacterized protein;KSMBR1_1307;
A0A2C9CDN6;;Uncharacterized protein;KSMBR1_1308;
A0A2C9CDN2;;Uncharacterized protein;KSMBR1_1309;
A0A2C9CDN1;;Uncharacterized protein;KSMBR1_1310;
Q1PYW9;TrkH trkH;Similar to sodium dependent potassium uptake system TrkH;KSMBR1_1312;kustd1528
Q1PYW8;trkA trkA_1;Similar to potassium uptake protein TrkA;KSMBR1_1313;kustd1529
A0A2C9CDT9;glpQ_2;TPR_REGION domain-containing protein;KSMBR1_1314;
A0A2C9CDN8;;Uncharacterized protein;KSMBR1_1315;
Q1PYW4;rbsK;Similar to ribokinase RbsK;KSMBR1_1316;kustd1533
Q1PYY0;cheV;Similar to CheW like chemotaxis response regulatory protein;KSMBR1_1317;kustd1535
Q1PYX8;;4HBT domain-containing protein;KSMBR1_1318;kustd1537
Q1PYX7;acsE;Similar to 5-methyltetrahydrofolate/corrinoid Fe-S protein methyltransferase (AcsE) of the CODH/ACS complex (EC 1.2.99.2);KSMBR1_1319;kustd1538
Q1PYX6;acsD;Similar to small subunit of corrinoid FeS protein of the CODH/ACS complex (AcsD) (EC 1.2.99.2);KSMBR1_1320;kustd1539
Q1PYX5;acsF;Similar to nickel insertase (AcsF) of CODH/ACS complex (EC 1.2.99.2);KSMBR1_1321;kustd1540
Q1PYX4;;Conserved hypothetical iron sulfur / metal binding protein part of the CODH/ACS complex;KSMBR1_1322;kustd1541
A0A2C9CDH8;acsC_1;4Fe-4S domain-containing protein;KSMBR1_1323;
Q1PYX1;clp clpP;ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Endopeptidase Clp);KSMBR1_1324;kustd1544
Q1PYY9;acsB codh;Similar to CO dehydrogenase/acetyl-CoA synthase alpha subunit (EC 1.2.99.2);KSMBR1_1325;kustd1545
Q1PYY8;acsA cdh;Carbon monoxide dehydrogenase (EC 1.2.7.4);KSMBR1_1326;kustd1546
A0A2C9CE12;cooC;CbiA domain-containing protein;KSMBR1_1327;
Q1PYY5;purE;N5-carboxyaminoimidazole ribonucleotide mutase (N5-CAIR mutase) (EC 5.4.99.18) (5-(carboxyamino)imidazole ribonucleotide mutase);KSMBR1_1328;kustd1549
Q1PYY4;nuoG fdhA_1;Similar to molybdopterin oxidoreductase, molybdopterin-containing subunit/ NuoG subunit of NADH dehydrogenase I (EC 1.6.5.3);KSMBR1_1329;kustd1550
A0A2C9CDQ2;nuoF_2;Strongly similar to proton-translocating NADH dehydrogenase I, 51 kDa subunit (NuoF);KSMBR1_1330;
Q1Q6R3;nuoE nuoE_2;Strongly similar to to proton-translocating NADH dehydrogenase I, 24 kDa subunit (NuoE) (EC 1.6.99.5);KSMBR1_1331;kuste2509
A0A2C9CE31;;Uncharacterized protein;KSMBR1_1332;
A0A2C9CDI8;;Uncharacterized protein;KSMBR1_1333;
Q1PYZ7;;DUF2294 domain-containing protein;KSMBR1_1334;kustd1556
Q1PYZ6;topA;DNA topoisomerase 1 (EC 5.6.2.1) (DNA topoisomerase I);KSMBR1_1335;kustd1557
Q1PYZ4;rpsT;30S ribosomal protein S20;KSMBR1_1336;kustd1559
A0A2C9CE22;;VWFA domain-containing protein;KSMBR1_1337;
A0A2C9CD97;;PIN domain protein;KSMBR1_1338;
A0A2C9CDR8;;Uncharacterized protein;KSMBR1_1339;
A0A2C9CDR7;;TPR_REGION domain-containing protein;KSMBR1_1340;
Q1PZ06;;Transposase_31 domain-containing protein;KSMBR1_1341;kustd1565
Q1PZ03;;Uncharacterized protein;KSMBR1_1342;kustd1568
Q1PZ02;;Uncharacterized protein;KSMBR1_1343;kustd1569
Q1PXI8;;Uncharacterized protein;KSMBR1_1344 KSMBR1_2944;kustc1197
A0A2C9CDS6;tnpA_11;Tnp_DDE_dom domain-containing protein;KSMBR1_1346;
A0A2C9CGH8;;Uncharacterized protein;KSMBR1_1347;
A0A2C9CE43;;Peptidase S55 domain-containing protein;KSMBR1_1348;
Q1PZ17;yrdC;Similar to YrdC protein;KSMBR1_1349;kustd1572
A0A2C9CDT0;rpiB;Strongly similar to ribose 5-phosphate isomerase B, also acts on allose (Allose 6-phosphate isomerase) (EC 5.3.1.6);KSMBR1_1350;
Q1PZ15;GalE galE;Similar to UDP-glucose 4-epimerase;KSMBR1_1351;kustd1574
Q1PZ14;DapF dapF;Diaminopimelate epimerase (DAP epimerase) (EC 5.1.1.7) (PLP-independent amino acid racemase);KSMBR1_1352;kustd1575
A0A2C9CE59;;Protein-glutamate methylesterase (EC 3.1.1.61);KSMBR1_1353;
A0A2C9CDL7;atoS_1;Histidine kinase (EC 2.7.13.3);KSMBR1_1354;
A0A2C9CDY7;;Uncharacterized protein;KSMBR1_1355;
A0A2C9CDT6;;Uncharacterized protein;KSMBR1_1356;
Q1PZ26;;Uncharacterized protein;KSMBR1_1357;kustd1582
A0A2C9CE52;aroK;Uncharacterized protein;KSMBR1_1358;
Q1PZ24;;Uncharacterized protein;KSMBR1_1359;kustd1584
A0A2C9CDU0;;Polbeta domain-containing protein;KSMBR1_1360;
A0A2C9CDT7;;Uncharacterized protein;KSMBR1_1361;
A0A2C9CDT1;ispG AarC;4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin) (EC 1.17.7.3) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase);KSMBR1_1362;
Q1PZ36;Dxr dxr;1-deoxy-D-xylulose 5-phosphate reductoisomerase (DXP reductoisomerase) (EC 1.1.1.267) (1-deoxyxylulose-5-phosphate reductoisomerase) (2-C-methyl-D-erythritol 4-phosphate synthase);KSMBR1_1363;kustd1591
A0A2C9CDM8;htrA_1;Uncharacterized protein;KSMBR1_1364;
A0A2C9CDZ6;;Uncharacterized protein;KSMBR1_1365;
Q1PZ31;ftsH ftsH_5;ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-);KSMBR1_1366;kustd1596
Q1PZ27;salX;Strongly similar to ABC transporter ATP-binding protein (Strongly similar to ABC transporter ATP-binding protein MJ0796);KSMBR1_1367;kustd1600
Q1PZ46;MexC mexC;Similar to RND multidrug efflux membrane fusion protein MexC;KSMBR1_1368;kustd1601
Q1PZ44;recG recG_2;ATP-dependent DNA helicase RecG (EC 3.6.4.12);KSMBR1_1369;kustd1603
Q1PZ43;PhhB phhB;Putative pterin-4-alpha-carbinolamine dehydratase (PHS) (EC 4.2.1.96) (4-alpha-hydroxy-tetrahydropterin dehydratase) (Pterin carbinolamine dehydratase) (PCD);KSMBR1_1370;kustd1604
Q1PZ42;;Uncharacterized protein;KSMBR1_1371;kustd1605
Q1PZ41;;Uncharacterized protein;KSMBR1_1372;kustd1606
Q1PZ40;;Polbeta domain-containing protein;KSMBR1_1373;kustd1607
A0A2C9CDN7;;Uncharacterized protein;KSMBR1_1374;
Q1PZ38;;AAA_15 domain-containing protein;KSMBR1_1375;kustd1609
Q1PZ37;;Uncharacterized protein;KSMBR1_1376;kustd1610
Q1PZ56;;Polbeta domain-containing protein;KSMBR1_1377;kustd1611
Q1PZ55;;Uncharacterized protein;KSMBR1_1378;kustd1612
Q1PZ54;;DUF4325 domain-containing protein;KSMBR1_1379;kustd1613
A0A2C9CDW1;;Uncharacterized protein;KSMBR1_1380;
Q1PZ53;;Uncharacterized protein;KSMBR1_1381;kustd1614
Q1PZ52;;Uncharacterized protein;KSMBR1_1382;kustd1615
A0A2C9CE89;;Uncharacterized protein;KSMBR1_1383;
Q1PZ48;hutU;Urocanate hydratase (Urocanase) (EC 4.2.1.49) (Imidazolonepropionate hydrolase);KSMBR1_1384;kustd1619
Q1PZ47;Hogg1 hogg1;Similar to 8-oxoguanine glycosylase (Hogg1);KSMBR1_1385;kustd1620
Q1PZ66;;Uncharacterized protein;KSMBR1_1386;kustd1621
Q1PZ64;Lon lon;Similar to ATP-dependent protease Lon;KSMBR1_1387;kustd1623
Q1PZ63;miaB miaB_3;Similar to protein involved in methylthiolation of isopentenylated A37 derivatives in tRNA;KSMBR1_1388;kustd1624
Q1PZ62;Cap33fE cap33fE;Similar to glycosyl transferase;KSMBR1_1389;kustd1625
A0A2C9CDX1;;bPH_2 domain-containing protein;KSMBR1_1390;
Q1PZ59;gmd;GDP-mannose 4,6-dehydratase (EC 4.2.1.47) (GDP-D-mannose dehydratase);KSMBR1_1391;kustd1628
A0A2C9CDW0;;DUF3656 domain-containing protein;KSMBR1_1392;
Q1PZ76;hnh1;Conserved hypothetical endonuclease protein;KSMBR1_1393;kustd1631
Q1PZ74;rfbA rfbA_3;Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24);KSMBR1_1394;kustd1633
Q1PZ73;rfbC;dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13) (Thymidine diphospho-4-keto-rhamnose 3,5-epimerase);KSMBR1_1395;kustd1634
Q1PZ72;;Uncharacterized protein;KSMBR1_1396;kustd1635
Q1PZ71;RfaF rfaF;Similar to ADP-heptose:LPS heptosyltransferase II;KSMBR1_1397;kustd1636
A0A2C9CE91;;Uncharacterized protein;KSMBR1_1398;
A0A2C9CDF7;arcB;Histidine kinase domain-containing protein;KSMBR1_1399;
Q1PZ68;atoC atoC_4;Strongly similar to sigma 54 response regulator;KSMBR1_1400;kustd1639
Q1PZ67;;Uncharacterized protein;KSMBR1_1401;kustd1640
Q1PZ83;;Uncharacterized protein;KSMBR1_1402;kustd1642
Q1PZ82;Gap gap;Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.-);KSMBR1_1403;kustd1643
Q1PZ80;Pgk pgk;Phosphoglycerate kinase (EC 2.7.2.3);KSMBR1_1404;kustd1645
Q1PZ79;Rpe rpe;Ribulose-phosphate 3-epimerase (EC 5.1.3.1);KSMBR1_1405;kustd1646
Q1PZ78;accD;Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15);KSMBR1_1406;kustd1647
A0A2C9CGN1;;Uncharacterized protein;KSMBR1_1408;
Q1PZ93;;Uncharacterized protein;KSMBR1_1409;kustd1650
A0A2C9CDG6;;Uncharacterized protein;KSMBR1_1410;
